week,cttg
2016-01-03,77
2016-01-10,74
2016-01-17,78
2016-01-24,72
2016-01-31,77
2016-02-07,74
2016-02-14,76
2016-02-21,80
2016-02-28,80
2016-03-06,79
2016-03-13,81
2016-03-20,83
2016-03-27,83
2016-04-03,81
2016-04-10,80
2016-04-17,73
2016-04-24,81
2016-05-01,83
2016-05-08,81
2016-05-15,85
2016-05-22,84
2016-05-29,82
2016-06-05,83
2016-06-12,86
2016-06-19,86
2016-06-26,89
2016-07-03,85
2016-07-10,86
2016-07-17,85
2016-07-24,84
2016-07-31,84
2016-08-07,78
2016-08-14,81
2016-08-21,76
2016-08-28,76
2016-09-04,80
2016-09-11,73
2016-09-18,71
2016-09-25,71
2016-10-02,68
2016-10-09,69
2016-10-16,71
2016-10-23,68
2016-10-30,67
2016-11-06,64
2016-11-13,70
2016-11-20,64
2016-11-27,67
2016-12-04,69
2016-12-11,68
2016-12-18,72
2016-12-25,75
2017-01-01,75
2017-01-08,77
2017-01-15,72
2017-01-22,74
2017-01-29,73
2017-02-05,76
2017-02-12,76
2017-02-19,81
2017-02-26,75
2017-03-05,82
2017-03-12,78
2017-03-19,78
2017-03-26,78
2017-04-02,83
2017-04-09,77
2017-04-16,78
2017-04-23,81
2017-04-30,81
2017-05-07,80
2017-05-14,77
2017-05-21,85
2017-05-28,83
2017-06-04,83
2017-06-11,86
2017-06-18,88
2017-06-25,89
2017-07-02,90
2017-07-09,88
2017-07-16,92
2017-07-23,88
2017-07-30,86
2017-08-06,84
2017-08-13,80
2017-08-20,77
2017-08-27,77
2017-09-03,71
2017-09-10,70
2017-09-17,73
2017-09-24,72
2017-10-01,67
2017-10-08,72
2017-10-15,71
2017-10-22,71
2017-10-29,68
2017-11-05,67
2017-11-12,72
2017-11-19,70
2017-11-26,84
2017-12-03,72
2017-12-10,78
2017-12-17,76
2017-12-24,79
2017-12-31,77
2018-01-07,73
2018-01-14,76
2018-01-21,74
2018-01-28,76
2018-02-04,75
2018-02-11,78
2018-02-18,80
2018-02-25,78
2018-03-04,74
2018-03-11,80
2018-03-18,78
2018-03-25,82
2018-04-01,80
2018-04-08,77
2018-04-15,76
2018-04-22,80
2018-04-29,83
2018-05-06,83
2018-05-13,82
2018-05-20,100
2018-05-27,88
2018-06-03,86
2018-06-10,86
2018-06-17,81
2018-06-24,89
2018-07-01,86
2018-07-08,88
2018-07-15,83
2018-07-22,99
2018-07-29,85
2018-08-05,86
2018-08-12,84
2018-08-19,80
2018-08-26,79
2018-09-02,74
2018-09-09,73
2018-09-16,71
2018-09-23,67
2018-09-30,68
2018-10-07,70
2018-10-14,69
2018-10-21,70
2018-10-28,71
2018-11-04,68
2018-11-11,69
2018-11-18,78
2018-11-25,85
2018-12-02,69
2018-12-09,68
2018-12-16,73
2018-12-23,76
2018-12-30,79
2019-01-06,78
2019-01-13,76
2019-01-20,76
2019-01-27,75
2019-02-03,77
2019-02-10,75
2019-02-17,76
2019-02-24,78
2019-03-03,75
2019-03-10,78
2019-03-17,78
2019-03-24,80
2019-03-31,80
2019-04-07,79
2019-04-14,78
2019-04-21,79
2019-04-28,79
2019-05-05,83
2019-05-12,80
2019-05-19,79
2019-05-26,83
2019-06-02,84
2019-06-09,80
2019-06-16,80
2019-06-23,87
2019-06-30,87
2019-07-07,80
2019-07-14,81
2019-07-21,84
2019-07-28,82
2019-08-04,83
2019-08-11,82
2019-08-18,78
2019-08-25,72
2019-09-01,73
2019-09-08,68
2019-09-15,70
2019-09-22,67
2019-09-29,69
2019-10-06,69
2019-10-13,68
2019-10-20,67
2019-10-27,64
2019-11-03,69
2019-11-10,69
2019-11-17,67
2019-11-24,68
2019-12-01,64
2019-12-08,67
2019-12-15,67
2019-12-22,71
2019-12-29,75
2020-01-05,76
2020-01-12,82
2020-01-19,86
2020-01-26,74
2020-02-02,72
2020-02-09,76
2020-02-16,73
2020-02-23,74
2020-03-01,74
2020-03-08,68
2020-03-15,61
2020-03-22,64
2020-03-29,62
2020-04-05,71
2020-04-12,70
2020-04-19,71
2020-04-26,76
2020-05-03,81
2020-05-10,83
2020-05-17,88
2020-05-24,98
2020-05-31,85
2020-06-07,93
2020-06-14,94
2020-06-21,92
2020-06-28,95
2020-07-05,93
2020-07-12,97
2020-07-19,93
2020-07-26,95
2020-08-02,95
2020-08-09,86
2020-08-16,90
2020-08-23,83
2020-08-30,82
2020-09-06,86
2020-09-13,80
2020-09-20,75
2020-09-27,78
2020-10-04,76
2020-10-11,79
2020-10-18,79
2020-10-25,80
2020-11-01,61
2020-11-08,75
2020-11-15,82
2020-11-22,79
2020-11-29,75
